ProductID,ProductName,ProductBrand,Gender,Price (INR),NumImages,Description,PrimaryColor
10003387,gini and jony girls navy blue washed denim jacket,gini and jony,girls,1329,3,"navy blue washed denim jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem, and unlined",blue
10004053,sweet dreams men navy blue solid straight-fit trackpants,sweet dreams,men,699,5,"navy blue solid straight-fit trackpant, has an elasticated waistband with a drawstring fastening, two pockets",blue
10017211,kazo women yellow floral print shirt dress,kazo,women,1345,5,"yellow printed woven shirt dress, has a mandarin collar, long sleeves, button closure,, tulip hem",yellow
10003299,gini and jony boys red & grey melange solid varsity jacket with applique detail,gini and jony,boys,649,3,"red and grey melange solid varsity jacket, has a stand collar, snap button closure, long sleeves, straight hem, unlined",red
10013569,parfait plus size beige solid underwired lightly padded plunge bra 2801,parfait,women,1189,2,beige solid medium-coverage plunge bra lightly padded and underwired seamless cups regular straps and back closure back style: regular feature: all day comfort,red
10017835,parx men blue slim fit checked casual shirt,parx,men,839,5,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",blue
10017771,parx men black & red slim fit checked casual shirt,parx,men,577,5,"black and red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",red
10006019,id men tan brown formal leather oxfords,id,men,1432,5,"a pair of tan brown square-toed formal oxfords, has central lace-upsleather uppercushioned footbedtextured tpu outsole, has a stacked heelwarranty: 3 months against manufacturing defect onlywarranty provided by the brand owner / manufacturer",brown
10002825,stylo bug girls turquoise blue a-line dress,stylo bug,girls,698,7,"turquoise blue printed woven a-line dress, has a round neck, sleeveless, concealed zip closure,, flared hem",blue
10013703,parfait plus size women black  red printed lace detail hipster brief 2805,parfait,women,899,2,"black and red printed low-rise hipster briefs with lace detail, has an inner elasticated waistband with lace detail, double layered gusset",red
10012713,miah decor set of 5 handcrafted ceramic kulladhs,miah decor,unisex,865,4,set of 5 ceramic kulladhs pattern: printedfinish: glossymaterial: ceramicfeatures: handcrafted,other
10012875,jewel junction gold-toned geometric cufflinks,jewel junction,men,539,5,a pair of gold-toned geometric textured cufflinkscomes in a signature jewel junction case,gold
10015997,tokyo talkies women black & red floral print fit and flare dress,tokyo talkies,women,499,5,"black and red printed woven fit and flare %s, has a round neck, three-quarter sleeves, concealed zip closure, and flared hem",red
10012771,sej by nisha gupta set of 6 printed table placemats,sej by nisha gupta,unisex,899,4,set content: 6 table matsshape: rectanglecolour: mustard yellow and greypattern: printedsuitable for: 6 seater tablematerial: cotton,other
10013055,sera women black printed loose fit regular shorts,sera,women,547,4,"black and pink printed above knee length mid-rise-rise regular shorts, has two pockets",black
10003213,gini and jony boys black & grey embroidered regular fit shorts,gini and jony,boys,839,3,"black and grey embroidered, has a partially elasticated waistband, hook and bar closure, 4 pockets",red
10014775,accessher gold-plated & black multistrand head chain,accessher,women,559,3,gold-plated and black multistranded head chain secured with insert closure,black
10002337,bvlgari women splendida iris d'or eau de parfum 100 ml,bvlgari,women,10950,2,"notestop notes: violet leaves absolute, heliotropeheart notes: orris abs, mimosa absbase notes: tonka beans, heart of vetiver, sandalwood ess",other
1000745,ahilya sterling silver statement ring,ahilya,women,3875,4,"sterling silver ring, has a circular detail with multiple teardrop-shaped patterns",silver
10009685,spykar women blue alexa super skinny fit high-rise clean look stretchable cropped jeans,spykar,women,1214,7,"blue medium wash 5-pocket high-rise cropped jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",blue
10012429,fido dido men grey & black printed colourblocked polo collar t-shirt,fido dido,men,599,5,"black and grey colourblocked printed t-shirt, has a round neck, short sleeves",black
10017723,parx men pink slim fit solid casual shirt,parx,men,739,5,"pink solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",pink
10017855,parx men navy blue slim fit printed casual shirt,parx,men,739,5,"navy blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",blue
10013025,sera women white self design top,sera,women,714,5,"white self-design knitted regular  top, has a round neck, sleeveless, and concealed zip closure",white
10001211,bvlgari women omnia crystalline eau de toilette 40 ml,bvlgari,women,5650,2,notestop notes: airy bamboo and exotic asian fruit nashiheart notes: lotus blossombase notes: elegant woodsy,other
10006003,id men grey solid thong flip-flops,id,men,1685,5,a pair of grey solid flip flopssynthetic upper materialcushioned footbedpatterned synthetic outsolewarranty: 3 monthswarranty provided by brand/manufacturer,grey
10012841,jewel junction silver-toned geometric cufflinks,jewel junction,men,539,4,a pair of silver-toned geometric solid cufflinkscomes in a signature jewel junction case,silver
10017423,dkny unisex gold & white printed cabin trolley bag,dkny,unisex,14400,6,"gold and white printed cabin trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketswarranty: 5 yearswarranty provided by brand owner / manufacturer",white
10000599,parx men khaki slim fit solid regular trousers,parx,men,839,5,"khaki solid mid-rise regular trousers, has a button closure, four pockets",khaki
10002809,qraa men pack of 2 face and beard wash 100gm each,qraa men,men,336,1,"what it is?:qraa men pack of 2 face and beard wash 100gm eachwhat it does?:it's essential to feel fresh while maintaining the perfect charming look. qraa's invigorating face and beard wash is formulated with an amazing blend of natural botanicals, vitamins, antioxidants, and cleansers to cleanse your handsome face and your glorious beard without over-drying. qraa men face and beard wash is a great addition to any men's beard grooming regimen. this ace and beard wash leaves beard hair clean, refreshed and soft. this wash is enriched with olive oil and a touch of jojoba seed oil to create a rich lather to remove dirt, oil, and impurities while naturally-derived conditioners help maintain shine and moisture. it is gentle on the skin and effective enough to work on a rough, coarse beard, the face wash is enriched with natural ingredients that provide deep cleansing, clear skin, and a soft beard.features:hydrates, soothes and helps firm the skincleanses the beard and face without over-dryingprovides essential nourishing elements to the skin cellshelps eliminate odour trapped in the beardingredients:salicylic acid, ginseng root extract, pro-vitamin b5, rosemary leaf oil",other
10013641,parfait plus size blue lace underwired lightly padded plunge bra p5351,parfait,women,1749,2,blue lace half-coverage plunge bra lightly padded and underwired seamless cups regular straps and back closure back style: regular feature: all day comfort,blue
10000657,lady lyka women peach and burgundy pack of 2 everyday bras entizer-11-pch-whn,lady lyka,women,510,4,pack of 2peach and burgundy solid medium-coverage everyday branon padded and non-wired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,burgundy
10005937,difference of opinion men olive green printed round neck t-shirt,difference of opinion,men,499,5,t-shirt,green
10001573,michael kors women eau de toilette 50 ml,michael kors,women,5715,2,"notestop notes: freesia, incense and chinese osmanthusheart notes: tuberose, lily, peony and orris rootbase notes:tahitian vetiver, musk and cashmere wood",other
10003809,homesake gold-toned & white solid handcrafted table lamp with shade,homesake,unisex,1732,5,type: handcrafted table lamp with shadecolour: gold-toned and whitepattern: solidshape: frustumshade material: fabricbase material: aluminiumbulb holder type: e27switch type: toggle buttoncomes with bulb,white
10006069,id men black leather formal derbys,id,men,1627,5,"a pair of black round-toed formal derbys, has central lace-upsleather uppercushioned footbedtextured pu outsole, has a stacked heelwarranty: 3 months against manufacturing defect onlywarranty provided by the brand owner / manufacturer",black
10017501,soie brown underwired non padded full coverage everyday bra fb-610crimson,soie,women,693,5,brown full-coverage everyday bra non padded and flexible underwired seamless three layered cupscushioned front straps with lace and back closuresandwiched brushed layer for no show apex,red
10002079,gas women navy blue regular fit mid-rise clean look stretchable jeans,gas,women,3595,7,"navy blue dark wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",blue
10003807,homesake gold-toned & navy blue solid handcrafted table lamp with shade,homesake,unisex,1890,5,type: handcrafted table lamp with shadecolour: gold-toned and navy bluepattern: solidshape: frustumshade material: fabricbase material: aluminiumbulb holder type: e27switch type: toggle buttoncomes with bulb,blue
10004165,highlander men navy blue & grey slim fit striped regular trousers,highlander,men,1299,5,"navy blue and grey striped mid-rise regular trousers, has a button closure, four pockets",blue
10013269,with men black slim fit solid casual shirt,with,men,684,5,"black solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",black
10006075,id men black leather formal derbys,id,men,2685,5,"a pair of black round-toed formal derbys, has central lace-upsleather upper, has a textured detailcushioned footbedtextured pu outsole, has a stacked heelwarranty: 3 months against manufacturing defect onlywarranty provided by the brand owner / manufacturer",black
10009637,spykar women white alexa super skinny fit high-rise clean look stretchable ankle jeans,spykar,women,1999,7,"white light wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",white
10017093,zush plus size women black regular fit mid-rise clean look jeans,zush,women,1299,5,"black dark wash five-pocket mid-rise jeans, clean look with heavy fade, has a button and zip closure, waistband with belt loops",black
10017355,story@home mustard floral 210 tc cotton 1 king bedsheet with 2 pillow covers,story@home,unisex,1199,5,set content: 1 king bedsheet with 2 pillow coversquality: superfinethread count: 210colour: mustardpattern: floral,mustard
